Workout DateTime,Program,Day Name,Exercise,Is Warmup Set?,Required Reps,Completed Reps,Is AMRAP?,Required RPE,Completed RPE,Log RPE?,Required Weight Value,Required Weight Unit,Completed Weight Value,Completed Weight Unit,Ask Weight?,Completed Reps Time,Target Muscles,Synergist Muscles,Notes
2026-07-25T23:40:12.046Z,GVS Ravage ,Week 4 - Day 2 - Torso A,Smith Machine Close Grip Larsen Press,1,5,3,0,,,0,60,lb,105,lb,0,2026-07-25T23:47:46.815Z,"Triceps Brachii,Pectoralis Major Sternal Head","Pectoralis Major Clavicular Head,Deltoid Anterior,Serratus Anterior",
2026-07-25T23:40:12.046Z,GVS Ravage ,Week 4 - Day 2 - Torso A,Smith Machine Close Grip Larsen Press,1,5,2,0,,,0,95,lb,155,lb,0,2026-07-25T23:47:50.791Z,"Triceps Brachii,Pectoralis Major Sternal Head","Pectoralis Major Clavicular Head,Deltoid Anterior,Serratus Anterior",
2026-07-25T23:40:12.046Z,GVS Ravage ,Week 4 - Day 2 - Torso A,Smith Machine Close Grip Larsen Press,0,8,5,0,9,9,1,120,lb,155,lb,0,2026-07-25T23:56:21.710Z,"Triceps Brachii,Pectoralis Major Sternal Head","Pectoralis Major Clavicular Head,Deltoid Anterior,Serratus Anterior",
2026-07-25T23:40:12.046Z,GVS Ravage ,Week 4 - Day 2 - Torso A,Smith Machine Close Grip Larsen Press,0,8,6,0,9,9,1,130,lb,155,lb,0,2026-07-26T00:11:14.364Z,"Triceps Brachii,Pectoralis Major Sternal Head","Pectoralis Major Clavicular Head,Deltoid Anterior,Serratus Anterior",
2026-07-25T23:40:12.046Z,GVS Ravage ,Week 4 - Day 2 - Torso A,Smith Machine Close Grip Larsen Press,0,8,4,0,9,9,1,130,lb,155,lb,0,2026-07-26T00:19:44.512Z,"Triceps Brachii,Pectoralis Major Sternal Head","Pectoralis Major Clavicular Head,Deltoid Anterior,Serratus Anterior",
2026-07-25T23:40:12.046Z,GVS Ravage ,Week 4 - Day 2 - Torso A,Narrow Pulldown,1,5,2,0,,,0,80,lb,120,lb,0,2026-07-25T23:48:56.333Z,Latissimus Dorsi,"Biceps Brachii,Brachialis,Brachioradialis,Trapezius Middle Fibers,Trapezius Lower Fibers,Teres Major,Deltoid Posterior",
2026-07-25T23:40:12.046Z,GVS Ravage ,Week 4 - Day 2 - Torso A,Narrow Pulldown,0,15,8,1,9,10,1,100,lb,120,lb,0,2026-07-26T00:12:56.217Z,Latissimus Dorsi,"Biceps Brachii,Brachialis,Brachioradialis,Trapezius Middle Fibers,Trapezius Lower Fibers,Teres Major,Deltoid Posterior",
2026-07-25T23:40:12.046Z,GVS Ravage ,Week 4 - Day 2 - Torso A,Narrow Pulldown,0,15,10,1,9,10,1,100,lb,120,lb,0,2026-07-26T00:12:52.424Z,Latissimus Dorsi,"Biceps Brachii,Brachialis,Brachioradialis,Trapezius Middle Fibers,Trapezius Lower Fibers,Teres Major,Deltoid Posterior",
2026-07-25T23:40:12.046Z,GVS Ravage ,Week 4 - Day 2 - Torso A,Narrow Pulldown,0,15,9,1,9,9.5,1,100,lb,120,lb,0,2026-07-26T00:20:45.334Z,Latissimus Dorsi,"Biceps Brachii,Brachialis,Brachioradialis,Trapezius Middle Fibers,Trapezius Lower Fibers,Teres Major,Deltoid Posterior",
2026-07-25T23:40:12.046Z,GVS Ravage ,Week 4 - Day 2 - Torso A,Smith Reverse Grip Bench,0,12,6,0,9,9,1,90,lb,105,lb,0,2026-07-26T00:25:49.909Z,"Pectoralis Major Clavicular Head,Triceps Brachii","Deltoid Anterior,Pectoralis Major Sternal Head",
2026-07-25T23:40:12.046Z,GVS Ravage ,Week 4 - Day 2 - Torso A,Smith Reverse Grip Bench,0,12,6,0,9,9,1,90,lb,105,lb,0,2026-07-26T00:36:28.910Z,"Pectoralis Major Clavicular Head,Triceps Brachii","Deltoid Anterior,Pectoralis Major Sternal Head",
2026-07-25T23:40:12.046Z,GVS Ravage ,Week 4 - Day 2 - Torso A,Machine Pulldown,0,15,10,0,9,10,1,135,lb,135,lb,0,2026-07-26T00:27:13.412Z,Latissimus Dorsi,"Trapezius Middle Fibers,Trapezius Lower Fibers,Deltoid Posterior,Biceps Brachii,Brachialis,Brachioradialis",Wide Grip
2026-07-25T23:40:12.046Z,GVS Ravage ,Week 4 - Day 2 - Torso A,Machine Pulldown,0,15,8,0,9,10,1,130,lb,135,lb,0,2026-07-26T00:38:44.105Z,Latissimus Dorsi,"Trapezius Middle Fibers,Trapezius Lower Fibers,Deltoid Posterior,Biceps Brachii,Brachialis,Brachioradialis",Wide Grip
2026-07-25T23:40:12.046Z,GVS Ravage ,Week 4 - Day 2 - Torso A,Cable Crossover,0,15,9,0,10,10,1,25,lb,20,lb,0,2026-07-26T00:40:53.702Z,Pectoralis Major Sternal Head,"Deltoid Anterior,Latissimus Dorsi,Levator Scapulae,Pectoralis Major Clavicular Head",
2026-07-25T23:40:12.046Z,GVS Ravage ,Week 4 - Day 2 - Torso A,Cable Crossover,0,15,6,0,10,10,1,25,lb,20,lb,0,2026-07-26T00:47:13.826Z,Pectoralis Major Sternal Head,"Deltoid Anterior,Latissimus Dorsi,Levator Scapulae,Pectoralis Major Clavicular Head",
2026-07-25T23:40:12.046Z,GVS Ravage ,Week 4 - Day 2 - Torso A,Bent Over One Arm Row,0,15,7,0,10,10,1,50,lb,50,lb,0,2026-07-26T00:43:12.219Z,"Latissimus Dorsi,Trapezius Lower Fibers,Trapezius Middle Fibers","Infraspinatus,Teres Major,Teres Minor,Brachialis,Brachioradialis,Deltoid Posterior,Pectoralis Major Sternal Head",
2026-07-25T23:40:12.046Z,GVS Ravage ,Week 4 - Day 2 - Torso A,Bent Over One Arm Row,0,15,10,0,10,10,1,37.5,lb,50,lb,0,2026-07-26T00:50:55.205Z,"Latissimus Dorsi,Trapezius Lower Fibers,Trapezius Middle Fibers","Infraspinatus,Teres Major,Teres Minor,Brachialis,Brachioradialis,Deltoid Posterior,Pectoralis Major Sternal Head",
