score,name,category,reviews,rating,phone,website,email,address,flags
100,Elite Bookkeeping Solutions,Consultant,34,5.0,(480) 914-0806,https://maps.google.com/?cid=7043736674209835328&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,"2846 W Durango St, Phoenix, AZ 85009, USA",likely recurring rev
100,"Bookkeeping Done Right, LLC.",Consultant,99,5.0,(602) 510-9433,https://www.bookkeepingdoneright.net/contact-us/,,"8575 W State Ave, Glendale, AZ 85305, USA",likely recurring rev
100,Numbers Matter Accounting & Bookkeeping LLC,Accounting,49,5.0,(602) 635-9825,https://www.nmaab.com/,,"2942 N 24th St Unit 114, Phoenix, AZ 85016, USA",likely recurring rev
100,Old Glory Bookkeeping,Consultant,31,4.9,(480) 967-8837,https://oldglorybookkeeping.com/,,"2300 S Rural Rd, Tempe, AZ 85282, USA",likely recurring rev
100,dA Bookkeeping LLC,Consultant,55,5.0,(602) 739-5642,http://dabookkeeping.com/?utm_source=gmb&utm_medium=referral,,"17505 N 79th Ave #212, Glendale, AZ 85308, USA",likely recurring rev
94,Sapphire Bookkeeping & Accounting,Consultant,30,4.3,(602) 714-7874,http://sapphirebookkeepingaz.com/,,"18001 N 79th Ave D66, Glendale, AZ 85308, USA",likely recurring rev
90,SL Tax & Accounting,Accounting,38,4.8,(480) 500-9020,https://taxesandrealty.com/taxservices/,,"6260 S 35th Ave #172, Phoenix, AZ 85041, USA",
90,FreedomFromAccounting,Accounting,46,5.0,(480) 802-5636,https://www.freedomfromaccounting.com/,,"1839 E Queen Creek Rd ste-4, Chandler, AZ 85286, USA",
90,Magnolia Tax Services LLC,Consultant,98,5.0,(602) 303-7571,https://maps.google.com/?cid=13309740601106255068&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,"1617 N 32nd St Unit 7, Phoenix, AZ 85008, USA","tax-prep — seasonal/one-time, verify recurring %"
90,Master Accounting and Tax Service,Accounting,89,4.7,(480) 456-4999,https://masteracct.com/,,"3231 S Country Club Way Ste 101, Tempe, AZ 85282, USA","tax-prep — seasonal/one-time, verify recurring %"
90,Get Smart Accounting,Consultant,37,5.0,(480) 619-8418,https://getsmartqb.com/,,"2294 E Browning Pl, Chandler, AZ 85286, USA",
90,Augmented Accounting,Accounting,34,4.8,(602) 264-6611,https://augmentedacc.com/,,"6149 S Rural Rd, Tempe, AZ 85283, USA",
90,Expert Tax & Accounting,Consultant,84,4.7,(480) 831-6565,http://www.experttaxaz.com/,,"1700 E Elliot Rd Ste 4, Tempe, AZ 85284, USA",
90,Copper Peak Financial,Accounting,38,5.0,(480) 535-6585,https://www.copperpeakfinancial.com/,,"3100 W Ray Rd #201, Chandler, AZ 85226, USA",
90,All States Tax & Accounting,Banking and Finance,42,5.0,(480) 730-1771,https://allstatestax.net/,,"4500 S Lakeshore Dr #575, Tempe, AZ 85282, USA",
90,"Responsive Tax & Accounting, LLC",Consultant,119,4.8,(480) 553-8991,https://www.responsivetax.com/?utm_source=google&utm_medium=google_business_profile&utm_campaign=website_click,,"5960 S Cooper Rd Ste 1, Chandler, AZ 85249, USA",
90,SJS Accounting LLC,Consultant,65,4.9,(480) 757-9470,https://sjsaccountingllc.com/,,"3978 E Chandler Heights Rd #102, Gilbert, AZ 85298, USA",
90,LM Tax & Accounting,Consultant,32,5.0,(480) 786-9606,https://www.lmtaxes.com/,,"497 W Ray Rd #5, Chandler, AZ 85225, USA",
90,Pacific Tax and Accounting,Consultant,31,5.0,(480) 581-1500,http://pacifictaxandaccounting.com/,,"1260 N Arizona Ave Ste B, Chandler, AZ 85225, USA",
90,Fuller's Tax Services,Consultant,92,4.8,(480) 497-6286,https://www.facebook.com/fullerstaxservice/,,"1959 S Val Vista Dr #100, Mesa, AZ 85204, USA","tax-prep — seasonal/one-time, verify recurring %"
90,AZ Edge Accounting (formerly known as Tax Relief Central),Consultant,34,4.9,(480) 645-5197,https://www.azedgeaccounting.com/,,"3707 E Southern Ave, Mesa, AZ 85206, USA",
90,Castel Accounting Solutions PLLC,Accounting,41,4.5,(480) 999-8010,https://castel-accounting.com/,,"2222 S Dobson Rd Unit 309 building 3, Mesa, AZ 85202, USA",
90,Pro Tax Financial Services,Consultant,69,4.9,(480) 464-1040,http://protax1040.com/,,"761 S Stapley Dr, Mesa, AZ 85204, USA",
90,Taxanista,Accounting,34,4.8,(480) 331-3316,http://www.taxanista.com/,,"2218 E Williams Field Rd #260, Gilbert, AZ 85295, USA",
90,Paygration,accounting / consultant / finance,121,5.0,(866) 949-7267,https://paygration.com/,,"9375 E Shea Blvd, Scottsdale, AZ 85260, USA",
90,Provident Accounting,Accounting,49,4.6,(480) 420-3227,http://www.providentaccountingservices.com/,,"7135 E Camelback Rd #230, Scottsdale, AZ 85251, USA",
90,Paramount Tax & Accounting - Glendale North,Banking and Finance,40,4.8,(623) 267-4223,https://paramount.tax/glendale,,"18275 N 59th Ave Suite 112B, Glendale, AZ 85308, USA",
90,Better Ways Accounting & Tax,Consultant,104,4.9,(602) 880-1295,https://betterwaysaccounting.com/,,"12020 N 35th Ave #108, Phoenix, AZ 85029, USA",
90,Arrington Accounting Services,Consultant,31,4.6,(623) 217-2948,https://www.aataxllc.com/,,"9220 W Union Hills Dr #102, Peoria, AZ 85382, USA",
90,"Mesa Heights Accounting, LLC",Accounting,107,5.0,(928) 322-1076,http://mesaheightstax.com/,,"6730 E Preston St Unit 49, Mesa, AZ 85215, USA",
90,L & R Income Tax Services,Consultant,30,4.6,(480) 306-5381,https://maps.google.com/?cid=14699433389522335986&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,"1530 N Country Club Dr # 12, Mesa, AZ 85201, USA","tax-prep — seasonal/one-time, verify recurring %"
