score,name,category,reviews,rating,phone,website,email,address,flags,sector
90,Cadden Community Management,Services,30,5.0,(480) 956-0300,https://www.cadden.com/,,"201 E Washington St Ste 500, Phoenix, AZ 85004, USA",recurring/route sector,hoa-management
90,Lifetime HOA Management,Services,46,5.0,(480) 852-5050,https://lifetimehoaarizona.com/,,"1530 E Williams Field Rd #201, Gilbert, AZ 85295, USA",recurring/route sector,hoa-management
90,Align Community Management,Services,20,4.8,(480) 999-3400,http://alignaz.com/,,"4135 S Power Rd Ste 124, Mesa, AZ 85212, USA",recurring/route sector,hoa-management
90,HOA Consultants,Consultant,13,5.0,(602) 402-1955,https://hoa-consultants.com/,,"5201 E Oakhurst Way, Scottsdale, AZ 85254, USA",recurring/route sector,hoa-management
90,Solera Chandler HOA,Association / Organization,46,4.7,(480) 802-6996,https://solerachandlerhoa.org/,,"6360 S Mountain Blvd, Chandler, AZ 85249, USA",recurring/route sector,hoa-management
90,Springfield Community HOA,Association / Organization,30,4.7,(480) 802-6585,https://www.springfieldcommunity.org/,,"6495 S St Andrews Blvd, Chandler, AZ 85249, USA",recurring/route sector,hoa-management
90,ABCO Shredding Services,point_of_interest / establishment,65,4.8,(602) 374-4408,http://www.abcoshredding.com/,,"2640 E Rose Garden Ln #4, Phoenix, AZ 85050, USA",recurring/route sector,document-destruction
90,Universal Paper Shredding,point_of_interest / establishment,64,4.9,(480) 805-1535,http://universalpapershredding.com/,,"1661 N Quail Suite B, Mesa, AZ 85205, USA",recurring/route sector,document-destruction
90,Shredding Services Scottsdale AZ,point_of_interest / establishment,13,5.0,(602) 759-5103,https://shreddingservicesscottsdaleaz.com/,,"6424 E Greenway Pkwy #100, Scottsdale, AZ 85254, USA",recurring/route sector,document-destruction
90,ASDD Document Destruction,point_of_interest / establishment,25,4.7,(480) 730-4133,http://www.shredasdd.org/contact-us,,"225 W Lodge Dr, Tempe, AZ 85283, USA",recurring/route sector,document-destruction
